%CPU,Exhaustivo,Aleatorio,Evolutivo
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
99.9,99.9,,
100.0,100.0,,
99.3,99.3,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.1,100.1,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
92.9,92.9,,
99.3,99.3,,
100.1,100.1,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.3,99.3,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.3,99.3,,
99.9,99.9,,
99.2,99.2,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
99.3,99.3,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.3,99.3,,
100.0,100.0,,
99.9,99.9,,
99.2,99.2,,
100.0,100.0,,
100.1,100.1,,
99.3,99.3,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
99.9,99.9,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
98.6,98.6,,
96.6,96.6,,
79.4,79.4,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
